id,sender_automation_value_set_id,code,display,version
235,11,cor,Cornish,
236,11,cor,cor,
237,11,cos,Corsican,
238,11,cos,cos,
239,11,cre,Cree,
240,11,cre,cre,
241,11,mus,Creek,
242,11,mus,mus,
243,11,crp,Creoles and pidgins (Other),
244,11,crp,crp,
245,11,cpe,Creoles and pidgins English based (Other),
246,11,cpe,cpe,
247,11,cpf,Creoles and pidgins French-based (Other),
248,11,cpf,cpf,
249,11,cpp,Creoles and pidgins Portuguese-based (Other),
250,11,cpp,cpp,
251,11,crh,Crimean Tatar; Crimean Turkish,
252,11,crh,Crimean Tatar,
253,11,crh,Crimean Turkish,
254,11,crh,crh,
255,11,hrv,Croatian,
256,11,hrv,hrv,
257,11,cus,Cushitic (Other),
258,11,cus,Cushitic,
259,11,cus,cus,
260,11,cze,Czech,
261,11,cze,cze,
262,11,dak,Dakota,
263,11,dak,dak,
264,11,dan,Danish,
265,11,dan,dan,
266,11,dar,Dargwa,
267,11,dar,dar,
268,11,prs,Dari,
269,11,prs,prs,
270,11,del,Delaware,
271,11,del,del,
272,11,din,Dinka,
273,11,din,din,
274,11,div,Divehi; Dhivehi; Maldivian,
275,11,div,Divehi,
276,11,div,Dhivehi,
277,11,div,Maldivian,
278,11,div,div,
279,11,doi,Dogri,
280,11,doi,doi,
281,11,dgr,Dogrib,
282,11,dgr,dgr,
283,11,dra,Dravidian (Other),
284,11,dra,Dravidian,
285,11,dra,dra,
286,11,dua,Duala,
287,11,dua,dua,
288,11,dut,Dutch; Flemish,
289,11,dut,Dutch,
290,11,dut,Flemish,
291,11,dut,dut,
292,11,dyu,Dyula,
293,11,dyu,dyu,
294,11,dzo,Dzongkha,
295,11,dzo,dzo,
296,11,frs,Eastern Frisian,
297,11,frs,frs,
298,11,efi,Efik,
299,11,efi,efi,
300,11,eka,Ekajuk,
301,11,eka,eka,
302,11,elx,Elamite,
303,11,elx,elx,
304,11,eng,English,
305,11,eng,eng,
306,11,myv,Erzya,
307,11,myv,myv,
308,11,epo,Esperanto,
309,11,epo,epo,
310,11,est,Estonian,
311,11,est,est,
312,11,ewe,Ewe,
313,11,ewo,Ewondo,
314,11,ewo,ewo,
315,11,fan,Fang,
316,11,fan,fan,
317,11,fat,Fanti,
318,11,fat,fat,
319,11,fao,Faroese,
320,11,fao,fao,
321,11,fij,Fijian,
322,11,fij,fij,
323,11,fil,Filipino; Pilipino,
324,11,fil,Filipino,
325,11,fil,Pilipino,
326,11,fil,fil,
327,11,fin,Finnish,
328,11,fin,fin,
329,11,fiu,Finno-Ugrian (Other),
330,11,fiu,Finno-Ugrian,
331,11,fiu,fiu,
332,11,fon,Fon,
333,11,fre,French,
334,11,fre,fre,
335,11,fry,Frisian,
336,11,fry,fry,
337,11,fur,Friulian,
338,11,fur,fur,
339,11,ful,Fulah,
340,11,ful,ful,
341,11,gaa,Ga,
342,11,gaa,gaa,
343,11,gla,Gaelic; Scottish Gaelic,
344,11,gla,Gaelic,
345,11,gla,Scottish Gaelic,
346,11,gla,gla,
347,11,car,Galibi Carib,
348,11,car,car,
349,11,glg,Galician,
350,11,glg,glg,
351,11,lug,Ganda,
352,11,lug,lug,
353,11,gay,Gayo,
354,11,gay,gay,
355,11,gba,Gbaya,
356,11,gba,gba,
357,11,gez,Geez,
358,11,gez,gez,
359,11,geo,Georgian,
360,11,geo,geo,
361,11,ger,German,
362,11,ger,ger,
363,11,gem,Germanic (Other),
364,11,gem,Germanic,
365,11,gem,gem,
366,11,gil,Gilbertese,
367,11,gil,gil,
368,11,gon,Gondi,
369,11,gon,gon,
370,11,gor,Gorontalo,
371,11,gor,gor,
372,11,got,Gothic,
373,11,got,got,
374,11,grb,Grebo,
375,11,grb,grb,
376,11,gre,Greek Modern (1453-),
377,11,gre,Greek,
378,11,gre,gre,
379,11,grn,Guarani,
380,11,grn,grn,
381,11,guj,Gujarati,
382,11,guj,guj,
383,11,gwi,Gwich'in,
384,11,gwi,gwi,
385,11,hai,Haida,
386,11,hai,hai,
387,11,hat,Haitian; Haitian Creole,
388,11,hat,Haitian,
389,11,hat,Haitian Creole,
390,11,hat,hat,
391,11,hau,Hausa,
392,11,hau,hau,
393,11,haw,Hawaiian,
394,11,haw,haw,
395,11,heb,Hebrew,
396,11,heb,heb,
397,11,her,Herero,
398,11,her,her,
399,11,hil,Hiligaynon,
400,11,hil,hil,
401,11,him,Himachali,
402,11,him,him,
403,11,hin,Hindi,
404,11,hin,hin,
405,11,hmo,Hiri Motu,
406,11,hmo,hmo,
407,11,hit,Hittite,
408,11,hit,hit,
409,11,hmn,Hmong,
410,11,hmn,hmn,
411,11,hun,Hungarian,
412,11,hun,hun,
413,11,hup,Hupa,
414,11,hup,hup,
415,11,iba,Iban,
416,11,iba,iba,
417,11,ice,Icelandic,
418,11,ice,ice,
